SerialNumber,IsPresent,Title,Authors,Edition,Volume,Year,Publisher,ISBN,Notes,RIS,NLMClassification,LCCClassification,MeSHTerms,EbookURL,,,,,,,,,,,
257,TRUE,Electrophysiology of Arrhythmias: Interpretation of the Intracardiac Electrogram,"Zipes, Douglas P.; Jalife, José",,,2009?,Saunders Elsevier,,Año estimado.,"TY  - BOOK|||T1  - Electrophysiology of Arrhythmias: Interpretation of the Intracardiac Electrogram|||AU  - Zipes, Douglas P.|||AU  - Jalife, José|||PY  - 2009|||PB  - Saunders Elsevier|||N1  - Year estimated.|||ER  - ",WG 330,RC685.A65,"Arrhythmias, Cardiac / diagnosis; Electrophysiologic Techniques, Cardiac",https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090010848,,,,,,,,,,,
258,TRUE,Introduction to Splinting,"Coppard, Brenda M.; Lohman, Helene",3rd,,2008,Mosby Elsevier,978-0-323-03384-8,,"TY  - BOOK|||T1  - Introduction to Splinting|||AU  - Coppard, Brenda M.|||AU  - Lohman, Helene|||ED  - 3rd|||PY  - 2008|||PB  - Mosby Elsevier|||SN  - 978-0-323-03384-8|||ER  - ",,,,,,,,,,,,,,,
260,TRUE,Emery's Elements of Medical Genetics,"Turnpenny, Peter D.; Ellard, Sian",14th,,2012,Elsevier Churchill Livingstone,,,"TY  - BOOK|||T1  - Emery's Elements of Medical Genetics|||AU  - Turnpenny, Peter D.|||AU  - Ellard, Sian|||ED  - 14th|||PY  - 2012|||PB  - Elsevier Churchill Livingstone|||ER  - ",QZ 50,RB155,"Genetics, Medical",https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20100668744,,,,,,,,,,,
261,TRUE,Medical Genetics,"Jorde, Lynn B.; Carey, John C.; Bamshad, Michael J.",4th,,2010,Mosby Elsevier,978-0-323-05373-0,,"TY  - BOOK|||T1  - Medical Genetics|||AU  - Jorde, Lynn B.|||AU  - Carey, John C.|||AU  - Bamshad, Michael J.|||ED  - 4th|||PY  - 2010|||PB  - Mosby Elsevier|||SN  - 978-0-323-05373-0|||ER  - ",,,,,,,,,,,,,,,
262,TRUE,Cellular and Molecular Immunology,"Abbas, Abul K.; Lichtman, Andrew H.; Pillai, Shiv",7th,,2012,Saunders Elsevier,978-1-4377-0583-6,,"TY  - BOOK|||T1  - Cellular and Molecular Immunology|||AU  - Abbas, Abul K.|||AU  - Lichtman, Andrew H.|||AU  - Pillai, Shiv|||ED  - 7th|||PY  - 2012|||PB  - Saunders Elsevier|||SN  - 978-1-4377-0583-6|||ER  - ",,,,,,,,,,,,,,,
263,TRUE,Cases in Interventional Cardiology,"Ragosta, Michael",2nd,,2016,Elsevier,978-0-323-31614-9,Editor: Michael Ragosta.,"TY  - BOOK|||T1  - Cases in Interventional Cardiology|||AU  - Ragosta, Michael|||ED  - 2nd|||PY  - 2016|||PB  - Elsevier|||SN  - 978-0-323-31614-9|||N1  - Editor: Michael Ragosta.|||ER  - ",,,,,,,,,,,,,,,
264,TRUE,Essentials of Nursing Assistants,"Sorrentino, Sheila A.; Gorek, Bernie",5th,,2015,Elsevier Mosby,,,"TY  - BOOK|||T1  - Essentials of Nursing Assistants|||AU  - Sorrentino, Sheila A.|||AU  - Gorek, Bernie|||ED  - 5th|||PY  - 2015|||PB  - Elsevier Mosby|||ER  - ",WY 193,RT84,Nurses' Aides,,,,,,,,,,,,
265,TRUE,Essentials of Basic Geriatric Nursing,"Wold, Geri LoBiondo",5th,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Essentials of Basic Geriatric Nursing|||AU  - Wold, Geri LoBiondo|||ED  - 5th|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",WY 152,RC954,Geriatric Nursing,,,,,,,,,,,,
266,TRUE,Maternal-Child Nursing,"McKinney, Emily Slone; James, Susan R.; Murray, Sharon Smith; Nelson, Kristine; Ashwill, Jean Weiler",4th,,2013,Elsevier,,"Repetido de 223, misma info.","TY  - BOOK|||T1  - Maternal-Child Nursing|||AU  - McKinney, Emily Slone|||AU  - James, Susan R.|||AU  - Murray, Sharon Smith|||AU  - Nelson, Kristine|||AU  - Ashwill, Jean Weiler|||ED  - 4th|||PY  - 2013|||PB  - Elsevier|||N1  - Duplicate of 223, same info.|||ER  - ",WY 157.3,RJ245,Maternal-Child Nursing,https://evolve.elsevier.com/cs/product/9781455754052?role=student,,,,,,,,,,,
267,TRUE,Scientific Foundations and Principles of Practice in Musculoskeletal Rehabilitation,"Manske, Robert C.; Magee, David J.; Zachazewski, James E.; Quillen, William S.",2nd,,2016,Saunders Elsevier,978-1-4557-3749-9,"Editors: Manske, Magee, Zachazewski, Quillen.","TY  - BOOK|||T1  - Scientific Foundations and Principles of Practice in Musculoskeletal Rehabilitation|||AU  - Manske, Robert C.|||AU  - Magee, David J.|||AU  - Zachazewski, James E.|||AU  - Quillen, William S.|||ED  - 2nd|||PY  - 2016|||PB  - Saunders Elsevier|||SN  - 978-1-4557-3749-9|||N1  - Editors: Manske, Magee, Zachazewski, Quillen.|||ER  - ",,,,,,,,,,,,,,,
268,TRUE,Comprehensive Radiographic Pathology,"Eisenberg, Ronald L.; Johnson, Nancy M.",5th,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Comprehensive Radiographic Pathology|||AU  - Eisenberg, Ronald L.|||AU  - Johnson, Nancy M.|||ED  - 5th|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",WN 180,RC78,Radiography; Pathology,https://evolve.elsevier.com/cs/product/9780323075695?role=student,,,,,,,,,,,
269,TRUE,Pharmacology and Drug Administration for Imaging Technologists,"Ballinger, Philip W.; Jensen, Steven K.",1st,,2009,Elsevier Mosby,,,"TY  - BOOK|||T1  - Pharmacology and Drug Administration for Imaging Technologists|||AU  - Ballinger, Philip W.|||AU  - Jensen, Steven K.|||ED  - 1st|||PY  - 2009|||PB  - Elsevier Mosby|||ER  - ",WN 160,RM300,Radiology; Pharmacology; Drug Administration Routes,,,,,,,,,,,,
270,FALSE,(Vacío),,,,,,,,,,,,,,,,,,,,,,,
271,TRUE,Dorland's Illustrated Medical Dictionary,Dorland,30th,,2003,Saunders,,,TY  - BOOK|||T1  - Dorland's Illustrated Medical Dictionary|||AU  - Dorland|||ED  - 30th|||PY  - 2003|||PB  - Saunders|||ER  -,W 13,R121,"Dictionaries, Medical",,,,,,,,,,,,
272,TRUE,Dorland's Illustrated Medical Dictionary,Dorland,30th,,2003,Saunders,,"Repetido de 271, misma info.","TY  - BOOK|||T1  - Dorland's Illustrated Medical Dictionary|||AU  - Dorland|||ED  - 30th|||PY  - 2003|||PB  - Saunders|||N1  - Duplicate of 271, same info.|||ER  - ",W 13,R121,"Dictionaries, Medical",,,,,,,,,,,,
273,TRUE,Textbook of Diagnostic Ultrasonography,"Hagen-Ansert, Sandra L.",6th,2,2006,Mosby Elsevier,,Volumen 2.,"TY  - BOOK|||T1  - Textbook of Diagnostic Ultrasonography|||AU  - Hagen-Ansert, Sandra L.|||ED  - 6th|||VL  - 2|||PY  - 2006|||PB  - Mosby Elsevier|||N1  - Volume 2.|||ER  - ",WN 200,RC78.7.U4,Ultrasonography,,,,,,,,,,,,
274,TRUE,Sheehy's Emergency Nursing: Principles and Practice,"Sheehy, Susan Budassi; Emergency Nurses Association",6th,,2010,Mosby Elsevier,978-0-323-05585-7,,"TY  - BOOK|||T1  - Sheehy's Emergency Nursing: Principles and Practice|||AU  - Sheehy, Susan Budassi|||AU  - Emergency Nurses Association|||ED  - 6th|||PY  - 2010|||PB  - Mosby Elsevier|||SN  - 978-0-323-05585-7|||ER  - ",,,,,,,,,,,,,,,
275,TRUE,"Mosby's Medical, Nursing, & Allied Health Dictionary","Anderson, Kenneth N.; Anderson, Lois E.; Glanze, Walter D.",4th,,1994,Mosby,0-8016-5194-8,"El título en el lomo puede variar ligeramente (ej. 'Mosby's Dictionary of Medicine, Nursing & Health Professions'). ISBN-10.","TY  - BOOK|||T1  - Mosby's Medical, Nursing, & Allied Health Dictionary|||AU  - Anderson, Kenneth N.|||AU  - Anderson, Lois E.|||AU  - Glanze, Walter D.|||ED  - 4th|||PY  - 1994|||PB  - Mosby|||SN  - 0-8016-5194-8|||N1  - Spine title may vary slightly (e.g., 'Mosby's Dictionary of Medicine, Nursing & Health Professions'). ISBN-10.|||ER  - ",,,,,,,,,,,,,,,
276,TRUE,AAOS Atlas of Orthoses and Assistive Devices,"Hsu, John D.; Michael, John W.; Fisk, John R.",4th,,2008,Mosby Elsevier,,,"TY  - BOOK|||T1  - AAOS Atlas of Orthoses and Assistive Devices|||AU  - Hsu, John D.|||AU  - Michael, John W.|||AU  - Fisk, John R.|||ED  - 4th|||PY  - 2008|||PB  - Mosby Elsevier|||ER  - ",WE 26,RD755,Orthotic Devices; Self-Help Devices; Atlases,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090013976,,,,,,,,,,,
277,TRUE,Essentials of Pain Medicine,"Benito, Jose R.; Raj, P. Prithvi",3rd,,2011,Elsevier Saunders,,,"TY  - BOOK|||T1  - Essentials of Pain Medicine|||AU  - Benito, Jose R.|||AU  - Raj, P. Prithvi|||ED  - 3rd|||PY  - 2011|||PB  - Elsevier Saunders|||ER  - ",WL 704,RB127,Pain Management,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090530892,,,,,,,,,,,
278,TRUE,Pediatric Endocrinology,"Sperling, Mark A.",4th,,2014,Elsevier Saunders,,"Repetido de 247 (con más info de año), 4ª Ed.","TY  - BOOK|||T1  - Pediatric Endocrinology|||AU  - Sperling, Mark A.|||ED  - 4th|||PY  - 2014|||PB  - Elsevier Saunders|||ER  - ",WS 330,RJ418,Endocrinology; Pediatrics,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20110068622,,,,,,,,,,,
279,TRUE,"Mosby's Dictionary of Medicine, Nursing & Health Professions",Mosby,7th,,2006,Mosby Elsevier,978-0-323-03562-0,North American Edition.,"TY  - BOOK|||T1  - Mosby's Dictionary of Medicine, Nursing & Health Professions|||AU  - Mosby|||ED  - 7th|||PY  - 2006|||PB  - Mosby Elsevier|||SN  - 978-0-323-03562-0|||N1  - North American Edition.|||ER  - ",,,,,,,,,,,,,,,
280,TRUE,Anesthesia and Pain Management for the Obstetric Patient,"Wlody, David; Burkey, Dell; Regis, Debra",,,2009,Mosby Elsevier,978-1-4160-3344-8,"Editors: David Wlody, Dell Burkey, Debra Regis.","TY  - BOOK|||T1  - Anesthesia and Pain Management for the Obstetric Patient|||AU  - Wlody, David|||AU  - Burkey, Dell|||AU  - Regis, Debra|||PY  - 2009|||PB  - Mosby Elsevier|||SN  - 978-1-4160-3344-8|||N1  - Editors: David Wlody, Dell Burkey, Debra Regis.|||ER  - ",,,,,,,,,,,,,,,
281,TRUE,Nursing Drug Handbook 2007,Saunders,,,2007,Saunders Elsevier,,Anual.,TY  - BOOK|||T1  - Nursing Drug Handbook 2007|||AU  - Saunders|||PY  - 2007|||PB  - Saunders Elsevier|||N1  - Annual publication.|||ER  -,QV 39,RM301.15,Drug Therapy / nursing; Handbooks,,,,,,,,,,,,
282,TRUE,Mosby's Guide to Nursing Diagnosis,"Ladwig, Gail B.; Ackley, Betty J.",4th,,2014,Elsevier Mosby,,,"TY  - BOOK|||T1  - Mosby's Guide to Nursing Diagnosis|||AU  - Ladwig, Gail B.|||AU  - Ackley, Betty J.|||ED  - 4th|||PY  - 2014|||PB  - Elsevier Mosby|||ER  - ",WY 100.4,RT48.6,Nursing Diagnosis,https://evolve.elsevier.com/cs/product/9780323089931?role=student,,,,,,,,,,,
283,TRUE,Potter & Perry's Fundamentals of Nursing,"Potter, Patricia A.; Perry, Anne Griffin; Stockert, Patricia A.; Hall, Amy M.",8th,,2013,Mosby Elsevier,978-0-323-08526-7,,"TY  - BOOK|||T1  - Potter & Perry's Fundamentals of Nursing|||AU  - Potter, Patricia A.|||AU  - Perry, Anne Griffin|||AU  - Stockert, Patricia A.|||AU  - Hall, Amy M.|||ED  - 8th|||PY  - 2013|||PB  - Mosby Elsevier|||SN  - 978-0-323-08526-7|||ER  - ",,,,,,,,,,,,,,,
284,TRUE,Varcarolis's Psychiatric Nursing Care Plans: An Interprofessional Approach,"Varcarolis, Elizabeth M.",,,2011,Saunders Elsevier,978-1-4377-1782-2,,"TY  - BOOK|||T1  - Varcarolis's Psychiatric Nursing Care Plans: An Interprofessional Approach|||AU  - Varcarolis, Elizabeth M.|||PY  - 2011|||PB  - Saunders Elsevier|||SN  - 978-1-4377-1782-2|||ER  - ",,,,,,,,,,,,,,,
285,TRUE,Oncology Nursing: Clinical Reference,"Otto, Shirley E.",,,2004?,Mosby,,Año basado en etiqueta. Edición no especificada.,"TY  - BOOK|||T1  - Oncology Nursing: Clinical Reference|||AU  - Otto, Shirley E.|||PY  - 2004|||PB  - Mosby|||N1  - Year based on library label. Edition not specified.|||ER  - ",WY 156,RC266,Oncologic Nursing,,,,,,,,,,,,
286,TRUE,Pocket Guide to Basic Skills and Procedures,"Perry, Anne Griffin; Potter, Patricia Ann",6th,,2007,Elsevier Mosby,,Año basado en etiqueta.,"TY  - BOOK|||T1  - Pocket Guide to Basic Skills and Procedures|||AU  - Perry, Anne Griffin|||AU  - Potter, Patricia Ann|||ED  - 6th|||PY  - 2007|||PB  - Elsevier Mosby|||N1  - Year based on library label.|||ER  - ",WY 49,RT51,Nursing Process; Handbooks,,,,,,,,,,,,
287,TRUE,Skin Disease: Diagnosis and Treatment,"Habif, Thomas P.; Campbell, James L.; Chapman, M. Shane; Dinulos, James G. H.; Zug, Kathryn A.",1st,,1997,Mosby,0-8151-3762-1,ISBN-10.,"TY  - BOOK|||T1  - Skin Disease: Diagnosis and Treatment|||AU  - Habif, Thomas P.|||AU  - Campbell, James L.|||AU  - Chapman, M. Shane|||AU  - Dinulos, James G. H.|||AU  - Zug, Kathryn A.|||ED  - 1st|||PY  - 1997|||PB  - Mosby|||SN  - 0-8151-3762-1|||N1  - ISBN-10.|||ER  - ",,,,,,,,,,,,,,,
288,TRUE,Stedman's Medical Acronyms & Abbreviations,Stedman,2nd,,1998,Williams & Wilkins,1-56053-264-5,ISBN-10.,TY  - BOOK|||T1  - Stedman's Medical Acronyms & Abbreviations|||AU  - Stedman|||ED  - 2nd|||PY  - 1998|||PB  - Williams & Wilkins|||SN  - 1-56053-264-5|||N1  - ISBN-10.|||ER  - ,,,,,,,,,,,,,,,
289,TRUE,Manual of School Health,"Lewis, Bonnie Bear; Bear, Bonnie",2nd,,2002,Saunders,,,"TY  - BOOK|||T1  - Manual of School Health|||AU  - Lewis, Bonnie Bear|||AU  - Bear, Bonnie|||ED  - 2nd|||PY  - 2002|||PB  - Saunders|||ER  - ",WA 350,LB3405,School Nursing; School Health Services,,,,,,,,,,,,
290,TRUE,Manual of School Health,"Lewis, Bonnie Bear; Bear, Bonnie",2nd,,2002,Saunders,,"Repetido de 289, misma info.","TY  - BOOK|||T1  - Manual of School Health|||AU  - Lewis, Bonnie Bear|||AU  - Bear, Bonnie|||ED  - 2nd|||PY  - 2002|||PB  - Saunders|||N1  - Duplicate of 289, same info.|||ER  - ",WA 350,LB3405,School Nursing; School Health Services,,,,,,,,,,,,
291,TRUE,"Concept Development in Nursing: Foundations, Techniques, and Applications","Rodgers, Beth L.; Knafl, Kathleen Astin",,,2000?,Saunders,,Año basado en etiqueta.,"TY  - BOOK|||T1  - Concept Development in Nursing: Foundations, Techniques, and Applications|||AU  - Rodgers, Beth L.|||AU  - Knafl, Kathleen Astin|||PY  - 2000|||PB  - Saunders|||N1  - Year based on library label.|||ER  - ",WY 86,RT84.5,Nursing Theory; Concept Formation,,,,,,,,,,,,
292,FALSE,(Cuaderno Espiral),,,,,,,,,,,,,,,,,,,,,,,
293,TRUE,Green's Operative Hand Surgery,"Wolfe, Scott W.; Hotchkiss, Robert N.; Pederson, William C.; Kozin, Scott H.",6th,Vol 2?,2011,Elsevier Churchill Livingstone,,Volumen estimado basado en etiqueta.,"TY  - BOOK|||T1  - Green's Operative Hand Surgery|||AU  - Wolfe, Scott W.|||AU  - Hotchkiss, Robert N.|||AU  - Pederson, William C.|||AU  - Kozin, Scott H.|||ED  - 6th|||VL  - 2?|||PY  - 2011|||PB  - Elsevier Churchill Livingstone|||N1  - Volume estimated based on library label.|||ER  - ",WE 830,RD559,Hand / surgery,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090519906,,,,,,,,,,,
294,TRUE,Webster's New College Dictionary,Webster,3rd,,2007,Wiley,978-0-470-17777-8,,TY  - BOOK|||T1  - Webster's New College Dictionary|||AU  - Webster|||ED  - 3rd|||PY  - 2007|||PB  - Wiley|||SN  - 978-0-470-17777-8|||ER  - ,,,,,,,,,,,,,,,
295,FALSE,(Cuaderno Espiral),,,,,,,,,,,,,,,,,,,,,,,
296,TRUE,Textbook of Diagnostic Microbiology,"Mahon, Connie R.; Lehman, Donald C.; Manuselis, George",4th,,2011,Saunders Elsevier,,"Repetido de 250, misma info.","TY  - BOOK|||T1  - Textbook of Diagnostic Microbiology|||AU  - Mahon, Connie R.|||AU  - Lehman, Donald C.|||AU  - Manuselis, George|||ED  - 4th|||PY  - 2011|||PB  - Saunders Elsevier|||N1  - Duplicate of 250, same info.|||ER  - ",QW 4,QR46,"Microbiology; Diagnosis, Laboratory",https://evolve.elsevier.com/cs/product/9781416061656?role=student,,,,,,,,,,,
297,TRUE,Cell Biology,"Pollard, Thomas D.; Earnshaw, William C.; Lippincott-Schwartz, Jennifer",2nd,,2008,Saunders Elsevier,978-0-8089-2352-7,Lomo podría indicar 'Pollard's Cell Biology'.,"TY  - BOOK|||T1  - Cell Biology|||AU  - Pollard, Thomas D.|||AU  - Earnshaw, William C.|||AU  - Lippincott-Schwartz, Jennifer|||ED  - 2nd|||PY  - 2008|||PB  - Saunders Elsevier|||SN  - 978-0-8089-2352-7|||N1  - Spine might indicate 'Pollard's Cell Biology'.|||ER  - ",,,,,,,,,,,,,,,
298,TRUE,Geriatric Physical Therapy,"Guccione, Andrew A.; Wong, Rita A.; Avers, Dale",3rd,,2012,Mosby Elsevier,,,"TY  - BOOK|||T1  - Geriatric Physical Therapy|||AU  - Guccione, Andrew A.|||AU  - Wong, Rita A.|||AU  - Avers, Dale|||ED  - 3rd|||PY  - 2012|||PB  - Mosby Elsevier|||ER  - ",WT 100,RC953.8.P49,Physical Therapy Modalities; Geriatrics,https://evolve.elsevier.com/cs/product/9780323073479?role=student,,,,,,,,,,,
299,TRUE,Primer to the Immune Response,"Mak, Tak W.; Saunders, Mary E.",,,2008?,Academic Press / Elsevier,,Año basado en etiqueta.,"TY  - BOOK|||T1  - Primer to the Immune Response|||AU  - Mak, Tak W.|||AU  - Saunders, Mary E.|||PY  - 2008|||PB  - Academic Press / Elsevier|||N1  - Year based on library label.|||ER  - ",QW 504,QR181,Immune System,https://www.elsevier.com/books/primer-to-the-immune-response/mak/978-0-12-374163-9,,,,,,,,,,,
300,TRUE,Cancer of the Skin,"Rigel, Darrell S.; Friedman, Robert J.; Dzubow, Leonard M.; Marks, Reisha; Reintgen, Douglas S.; Gonzalez, Salvador",,,1997?,Elsevier Saunders,,Año basado en etiqueta.,"TY  - BOOK|||T1  - Cancer of the Skin|||AU  - Rigel, Darrell S.|||AU  - Friedman, Robert J.|||AU  - Dzubow, Leonard M.|||AU  - Marks, Reisha|||AU  - Reintgen, Douglas S.|||AU  - Gonzalez, Salvador|||PY  - 1997|||PB  - Elsevier Saunders|||N1  - Year based on library label.|||ER  - ",WR 500,RC280.S5,Skin Neoplasms,,,,,,,,,,,,
301,TRUE,Radiography: Practical Applications,"Tortorici, Marianne R.; Apfel, Patrick J.",,,1995,Mosby,0-8151-9137-5,ISBN-10.,"TY  - BOOK|||T1  - Radiography: Practical Applications|||AU  - Tortorici, Marianne R.|||AU  - Apfel, Patrick J.|||PY  - 1995|||PB  - Mosby|||SN  - 0-8151-9137-5|||N1  - ISBN-10.|||ER  - ",,,,,,,,,,,,,,,
302,TRUE,Sectional Anatomy by MRI and CT,"Kelley, Lorrie L.; Petersen, Connie M.",4th,,2017,Elsevier,978-0-323-08586-1,,"TY  - BOOK|||T1  - Sectional Anatomy by MRI and CT|||AU  - Kelley, Lorrie L.|||AU  - Petersen, Connie M.|||ED  - 4th|||PY  - 2017|||PB  - Elsevier|||SN  - 978-0-323-08586-1|||ER  - ",,,,,,,,,,,,,,,
303,TRUE,Respiratory Care Anatomy and Physiology,"Beachey, Will",3rd,,2013,Elsevier Mosby,,,"TY  - BOOK|||T1  - Respiratory Care Anatomy and Physiology|||AU  - Beachey, Will|||ED  - 3rd|||PY  - 2013|||PB  - Elsevier Mosby|||ER  - ",WF 101,QP121,Respiratory System / anatomy & histology; Respiratory System / physiology; Respiratory Therapy,https://evolve.elsevier.com/cs/product/9780323075718?role=student,,,,,,,,,,,
304,TRUE,Robbins Basic Pathology,"Kumar, Vinay; Abbas, Abul K.; Aster, Jon C.",9th,,2013,Elsevier Saunders,,,"TY  - BOOK|||T1  - Robbins Basic Pathology|||AU  - Kumar, Vinay|||AU  - Abbas, Abul K.|||AU  - Aster, Jon C.|||ED  - 9th|||PY  - 2013|||PB  - Elsevier Saunders|||ER  - ",QZ 4,RB111,Pathology,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090645640,,,,,,,,,,,
305,TRUE,Robbins Basic Pathology,"Kumar, Vinay; Abbas, Abul K.; Aster, Jon C.",9th,,2013,Elsevier Saunders,,"Repetido de 304, misma info.","TY  - BOOK|||T1  - Robbins Basic Pathology|||AU  - Kumar, Vinay|||AU  - Abbas, Abul K.|||AU  - Aster, Jon C.|||ED  - 9th|||PY  - 2013|||PB  - Elsevier Saunders|||N1  - Duplicate of 304, same info.|||ER  - ",QZ 4,RB111,Pathology,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090645640,,,,,,,,,,,
306,TRUE,Green's Operative Hand Surgery,"Wolfe, Scott W.; Hotchkiss, Robert N.; Pederson, William C.; Kozin, Scott H.",6th,Vol 1?,2011,Elsevier Churchill Livingstone,,Volumen estimado basado en etiqueta.,"TY  - BOOK|||T1  - Green's Operative Hand Surgery|||AU  - Wolfe, Scott W.|||AU  - Hotchkiss, Robert N.|||AU  - Pederson, William C.|||AU  - Kozin, Scott H.|||ED  - 6th|||VL  - 1?|||PY  - 2011|||PB  - Elsevier Churchill Livingstone|||N1  - Volume estimated based on library label.|||ER  - ",WE 830,RD559,Hand / surgery,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090519906,,,,,,,,,,,
307,TRUE,Medical Microbiology,"Murray, Patrick R.; Rosenthal, Ken S.; Pfaller, Michael A.",7th,,2013,Elsevier Saunders,978-0-323-08692-9,,"TY  - BOOK|||T1  - Medical Microbiology|||AU  - Murray, Patrick R.|||AU  - Rosenthal, Ken S.|||AU  - Pfaller, Michael A.|||ED  - 7th|||PY  - 2013|||PB  - Elsevier Saunders|||SN  - 978-0-323-08692-9|||ER  - ",,,,,,,,,,,,,,,
308,TRUE,Microbiology: An Introduction (Componente de Paquete),"Tortora, Gerard J.; Funke, Berdell R.; Case, Christine L.",10th?,,2010?,Benjamin Cummings?,978-0-323-04594-0,"Componente de un paquete con #309. ISBN del componente. Título, autores, edición, año y editorial probables basados en el lomo anterior y el contexto del paquete.","TY  - BOOK|||T1  - Microbiology: An Introduction (Package Component)|||AU  - Tortora, Gerard J.|||AU  - Funke, Berdell R.|||AU  - Case, Christine L.|||ED  - 10th?|||PY  - 2010?|||PB  - Benjamin Cummings?|||SN  - 978-0-323-04594-0|||N1  - Component of a package with #309. Component ISBN. Title, authors, edition, year, and publisher likely based on previous spine info and package context.|||ER  - ",,,,,,,,,,,,,,,
309,TRUE,Microbiology for the Healthcare Professional,"VanMeter, Karin C.; Hubert, Robert J.",1st,,2014,Mosby Elsevier,978-0-323-24984-3,Parte de un paquete con #308.,"TY  - BOOK|||T1  - Microbiology for the Healthcare Professional|||AU  - VanMeter, Karin C.|||AU  - Hubert, Robert J.|||ED  - 1st|||PY  - 2014|||PB  - Mosby Elsevier|||SN  - 978-0-323-24984-3|||N1  - Part of a package with #308.|||ER  - ",,,,,,,,,,,,,,,
310,TRUE,Autopsy Pathology: A Manual and Atlas,"Finkbeiner, Walter E.; Ursell, Philip C.; Davis, Richard L.",2nd,,2009,Saunders Elsevier,978-1-4160-5453-5,,"TY  - BOOK|||T1  - Autopsy Pathology: A Manual and Atlas|||AU  - Finkbeiner, Walter E.|||AU  - Ursell, Philip C.|||AU  - Davis, Richard L.|||ED  - 2nd|||PY  - 2009|||PB  - Saunders Elsevier|||SN  - 978-1-4160-5453-5|||ER  - ",,,,,,,,,,,,,,,
311,TRUE,A Companion to Braunwald's Heart Disease,"Mann, Douglas L.; Libby, Peter",,,2006?,Saunders Elsevier,,Año basado en etiqueta.,"TY  - BOOK|||T1  - A Companion to Braunwald's Heart Disease|||AU  - Mann, Douglas L.|||AU  - Libby, Peter|||PY  - 2006|||PB  - Saunders Elsevier|||N1  - Year based on library label.|||ER  - ",WG 100,RC681,Heart Diseases,,,,,,,,,,,,
312,TRUE,Essentials for Nursing Assistants,"Sorrentino, Sheila A.; Remmert, Leighann",5th,,2014,Mosby Elsevier,978-0-323-11317-5,,"TY  - BOOK|||T1  - Essentials for Nursing Assistants|||AU  - Sorrentino, Sheila A.|||AU  - Remmert, Leighann|||ED  - 5th|||PY  - 2014|||PB  - Mosby Elsevier|||SN  - 978-0-323-11317-5|||ER  - ",,,,,,,,,,,,,,,
313,TRUE,Essentials for Nursing Assistants,"Sorrentino, Sheila A.",5th,,2014,Elsevier Mosby,,"Repetido de 264, etiqueta año diferente.","TY  - BOOK|||T1  - Essentials for Nursing Assistants|||AU  - Sorrentino, Sheila A.|||ED  - 5th|||PY  - 2014|||PB  - Elsevier Mosby|||N1  - Duplicate of 264, different year on label (using 2014).|||ER  - ",WY 193,RT84,Nurses' Aides,,,,,,,,,,,,
314,TRUE,Mosby's Textbook for Nursing Assistants,"Sorrentino, Sheila A.; Remmert, Leighann",8th,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Mosby's Textbook for Nursing Assistants|||AU  - Sorrentino, Sheila A.|||AU  - Remmert, Leighann|||ED  - 8th|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",WY 193,RT84,Nurses' Aides,https://evolve.elsevier.com/cs/product/9780323080679?role=student,,,,,,,,,,,
315,TRUE,Mosby's Textbook for Long-Term Care Nursing Assistants,"Sorrentino, Sheila A.; Gorek, Bernie",6th,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Mosby's Textbook for Long-Term Care Nursing Assistants|||AU  - Sorrentino, Sheila A.|||AU  - Gorek, Bernie|||ED  - 6th|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",WY 193,RT84,Nurses' Aides; Long-Term Care,https://evolve.elsevier.com/cs/product/9780323077538?role=student,,,,,,,,,,,
316,TRUE,Today's Medical Assistant: Clinical & Administrative Procedures,"Bonewit-West, Kathy; Hunt, Sue A.; Applegate, Edith J.",2nd,,2012,Elsevier Saunders,,,"TY  - BOOK|||T1  - Today's Medical Assistant: Clinical & Administrative Procedures|||AU  - Bonewit-West, Kathy|||AU  - Hunt, Sue A.|||AU  - Applegate, Edith J.|||ED  - 2nd|||PY  - 2012|||PB  - Elsevier Saunders|||ER  - ",W 80,R728.8,Allied Health Personnel; Medical Assistants,https://evolve.elsevier.com/cs/product/9781455701506?role=student,,,,,,,,,,,
